product_id,price_range,area,price_per_m2,number_of_bedrooms,number_of_bathrooms,number_of_stories,front_length,legal_status,isFurnished,old_address,post_type,isVerified
39391117,45.0,89.0,505.62,7.0,7.0,7.0,7.0,True,Đầy đủ,Đống Đa,Tin thường,False
39416438,27.5,60.0,458.33,4.0,3.0,5.0,,True,,Thanh Xuân,Tin thường,False
39471981,8.95,42.0,213.1,4.0,3.0,4.0,4.0,True,Đầy đủ.,Hoàng Mai,Tin thường,False
39473539,15.5,80.0,193.75,27.0,28.0,8.0,,True,Đầy đủ,Thanh Trì,Tin thường,False
39590006,10.65,53.0,200.94,4.0,4.0,5.0,,True,Đầy đủ,Đống Đa,Tin thường,False
39593140,11.25,50.5,222.77,4.0,4.0,5.0,,True,Đầy đủ,Đống Đa,Tin thường,False
39672872,11.6,50.0,232.0,11.0,11.0,6.0,3.5,True,Đầy đủ,Hoài Đức,Tin thường,False
39711767,4.8,52.0,92.31,4.0,2.0,3.0,5.0,True,Cơ bản,Đông Anh,Tin VIP Bạc,False
39745538,14.5,51.0,284.31,,,6.0,4.5,True,Đầy đủ,Hà Đông,Tin thường,False
39754441,6.3,38.0,165.79,3.0,4.0,4.0,3.65,True,Cơ bản,Nam Từ Liêm,Tin thường,False
39757628,6.5,50.0,130.0,4.0,5.0,5.0,4.0,True,Nội thất long lanh.,Thanh Trì,Tin thường,False
39798854,11.05,53.0,208.49,4.0,5.0,6.0,,True,Đầy đủ,Đống Đa,Tin thường,False
39799550,25.9,160.0,161.88,30.0,30.0,5.0,,True,Đầy đủ,Hà Đông,Tin thường,False
39831894,8.9,50.0,178.0,5.0,,5.0,,True,Full,Đống Đa,Tin thường,False
39864218,29.5,85.0,347.06,5.0,,5.0,4.85,True,"Cầu thang, nội thất bằng gỗ Lim, các phòng đều có ánh sáng tự nhiên và khí trời.",Thanh Xuân,Tin thường,False
39883902,10.5,50.0,210.0,5.0,3.0,5.0,,True,Đầy đủ,Đống Đa,Tin thường,False
39896891,5.2,40.0,130.0,4.0,5.0,5.0,,True,,Thanh Trì,Tin thường,False
39903998,22.0,70.0,314.29,4.0,6.0,7.0,4.6,True,Đầy đủ,Cầu Giấy,Tin thường,False
39918136,6.8,50.0,136.0,4.0,4.0,3.0,5.0,True,Đầy đủ,Thanh Trì,Tin thường,False
39929540,16.0,60.0,266.67,,,6.0,5.0,True,Cơ bản,Hoàng Mai,Tin thường,False
39939981,6.4,31.0,206.45,3.0,4.0,5.0,,True,Đầy đủ,Hoàng Mai,Tin thường,False
39942823,10.25,46.8,219.02,4.0,4.0,5.0,,True,Đầy đủ nội thất cơ bản.,Ba Đình,Tin thường,False
40005608,11.0,55.0,200.0,4.0,4.0,5.0,,True,Đầy đủ,Đống Đa,Tin thường,False
